AgentID,CallID,CustomerID,PickedUp,Duration,ProductSold,Agent_Name
0,7999,519,1,117,0,Michele Williams
0,7100,469,1,235,0,Michele Williams
0,3752,74,1,185,0,Michele Williams
0,3751,562,1,121,0,Michele Williams
0,6783,30,1,102,1,Michele Williams
0,6919,353,1,261,0,Michele Williams
0,2411,486,1,280,0,Michele Williams
0,680,837,0,0,0,Michele Williams
0,6332,799,1,186,0,Michele Williams
0,1279,44,1,164,0,Michele Williams
0,5331,10,0,0,0,Michele Williams
0,8277,720,1,229,0,Michele Williams
0,9116,967,1,215,0,Michele Williams
0,2768,779,0,0,0,Michele Williams
0,2416,289,1,67,0,Michele Williams
0,7149,897,0,0,0,Michele Williams
0,395,829,1,183,1,Michele Williams
0,450,275,0,0,0,Michele Williams
0,4690,636,0,0,0,Michele Williams
0,9368,81,1,154,1,Michele Williams
0,2624,123,1,171,1,Michele Williams
0,7169,848,0,0,0,Michele Williams
0,8789,602,0,0,0,Michele Williams
0,3750,3,0,0,0,Michele Williams
0,8033,595,1,110,0,Michele Williams
0,9372,512,0,0,0,Michele Williams
0,4240,1,1,148,0,Michele Williams
0,2978,857,1,215,0,Michele Williams
0,4567,870,1,244,0,Michele Williams
0,8417,260,1,214,0,Michele Williams
0,6928,160,1,69,0,Michele Williams
0,7689,519,0,0,0,Michele Williams
0,1531,428,1,199,1,Michele Williams
0,3002,363,1,123,1,Michele Williams
0,430,217,1,191,0,Michele Williams
0,2532,517,1,177,1,Michele Williams
0,4711,408,1,201,1,Michele Williams
0,1197,948,1,70,1,Michele Williams
0,2415,235,0,0,0,Michele Williams
0,947,825,1,227,1,Michele Williams
0,4890,170,1,75,0,Michele Williams
0,8660,836,1,215,0,Michele Williams
0,707,601,1,263,0,Michele Williams
0,3432,22,1,145,0,Michele Williams
0,7187,580,1,124,0,Michele Williams
0,7202,795,0,0,0,Michele Williams
0,7835,349,1,176,0,Michele Williams
0,7502,7,0,0,0,Michele Williams
0,3841,788,0,0,0,Michele Williams
0,7300,892,1,168,0,Michele Williams
0,2526,915,0,0,0,Michele Williams
0,3133,706,1,178,0,Michele Williams
0,5758,437,1,252,0,Michele Williams
0,6767,570,1,187,0,Michele Williams
0,3146,440,1,118,1,Michele Williams
0,1080,926,1,253,0,Michele Williams
0,6471,711,1,193,1,Michele Williams
0,4984,317,0,0,0,Michele Williams
0,6012,928,0,0,0,Michele Williams
0,8293,801,1,88,0,Michele Williams
0,4487,353,0,0,0,Michele Williams
0,7285,865,1,211,0,Michele Williams
0,7691,895,1,231,1,Michele Williams
0,2655,960,1,178,0,Michele Williams
0,8313,740,1,166,0,Michele Williams
0,2890,147,0,0,0,Michele Williams
0,6330,902,1,208,1,Michele Williams
0,9024,23,1,190,0,Michele Williams
0,5477,2,1,273,1,Michele Williams
0,4348,908,1,192,1,Michele Williams
0,7859,768,1,153,0,Michele Williams
0,1950,228,1,181,0,Michele Williams
0,5083,39,1,137,0,Michele Williams
0,1463,731,1,180,0,Michele Williams
0,220,317,1,119,0,Michele Williams
0,4072,1,1,187,0,Michele Williams
0,8058,76,1,153,1,Michele Williams
0,5318,82,0,0,0,Michele Williams
0,2656,4,1,121,0,Michele Williams
0,336,910,1,245,0,Michele Williams
0,3619,160,1,199,1,Michele Williams
0,6157,839,1,102,0,Michele Williams
0,2581,928,0,0,0,Michele Williams
0,4526,616,0,0,0,Michele Williams
0,7226,618,1,237,0,Michele Williams
0,1772,263,1,223,0,Michele Williams
0,4566,306,1,200,0,Michele Williams
0,2743,602,1,184,0,Michele Williams
0,8240,2,1,177,0,Michele Williams
0,6773,156,1,228,1,Michele Williams
0,2454,684,1,168,1,Michele Williams
0,6929,831,0,0,0,Michele Williams
0,4725,502,1,184,0,Michele Williams
0,144,52,0,0,0,Michele Williams
0,185,281,1,171,0,Michele Williams
0,9561,437,1,197,1,Michele Williams
0,2434,743,1,228,0,Michele Williams
0,246,727,1,159,0,Michele Williams
0,2029,146,0,0,0,Michele Williams
0,4661,984,1,173,0,Michele Williams
0,5564,395,1,193,0,Michele Williams
0,6108,691,1,145,0,Michele Williams
0,6718,530,0,0,0,Michele Williams
0,3533,160,0,0,0,Michele Williams
0,4922,325,1,203,1,Michele Williams
0,3131,534,0,0,0,Michele Williams
0,864,280,1,83,1,Michele Williams
0,3528,185,1,175,0,Michele Williams
0,943,371,1,132,0,Michele Williams
0,540,492,0,0,0,Michele Williams
0,4832,722,1,223,0,Michele Williams
0,6440,123,1,144,1,Michele Williams
0,4800,137,0,0,0,Michele Williams
0,7784,861,1,83,0,Michele Williams
0,6085,866,1,75,0,Michele Williams
0,3991,1000,0,0,0,Michele Williams
0,5961,722,0,0,0,Michele Williams
0,5741,454,0,0,0,Michele Williams
0,9204,743,1,247,0,Michele Williams
0,7221,271,1,276,0,Michele Williams
0,5909,998,1,213,0,Michele Williams
0,6695,561,1,128,0,Michele Williams
0,4601,855,1,183,0,Michele Williams
0,7670,782,1,128,0,Michele Williams
0,6090,338,0,0,0,Michele Williams
0,3145,799,1,207,0,Michele Williams
0,2782,762,1,184,1,Michele Williams
0,3638,373,1,226,0,Michele Williams
0,9131,779,0,0,0,Michele Williams
0,2745,439,0,0,0,Michele Williams
0,792,310,0,0,0,Michele Williams
0,339,564,1,259,0,Michele Williams
0,2481,349,0,0,0,Michele Williams
0,9001,54,1,206,0,Michele Williams
0,1093,503,1,197,1,Michele Williams
0,6711,677,1,79,0,Michele Williams
0,3445,261,1,188,0,Michele Williams
0,1135,262,1,178,0,Michele Williams
0,6956,833,1,303,0,Michele Williams
0,4458,889,0,0,0,Michele Williams
0,4015,868,0,0,0,Michele Williams
0,8254,610,0,0,0,Michele Williams
0,4705,737,0,0,0,Michele Williams
0,1586,544,1,289,0,Michele Williams
0,8999,621,1,187,1,Michele Williams
0,7542,839,1,141,1,Michele Williams
0,4132,119,1,144,0,Michele Williams
0,8989,746,1,197,0,Michele Williams
0,9908,631,0,0,0,Michele Williams
0,7532,15,0,0,0,Michele Williams
0,2078,505,1,159,0,Michele Williams
0,2080,264,1,170,1,Michele Williams
0,3297,783,1,230,0,Michele Williams
0,3461,58,0,0,0,Michele Williams
0,8713,934,0,0,0,Michele Williams
0,3340,657,0,0,0,Michele Williams
0,4193,465,1,170,1,Michele Williams
0,2196,636,0,0,0,Michele Williams
0,1825,483,0,0,0,Michele Williams
0,8140,383,0,0,0,Michele Williams
0,7828,94,1,234,1,Michele Williams
0,4883,940,1,128,1,Michele Williams
0,6491,268,0,0,0,Michele Williams
0,4483,748,1,163,1,Michele Williams
0,7106,549,1,205,1,Michele Williams
0,9168,79,0,0,0,Michele Williams
0,2822,373,1,117,0,Michele Williams
0,1609,489,1,153,0,Michele Williams
0,7834,415,1,228,1,Michele Williams
0,4975,561,0,0,0,Michele Williams
0,2773,473,1,171,0,Michele Williams
0,1105,857,1,165,0,Michele Williams
0,7462,239,1,230,1,Michele Williams
0,2554,643,0,0,0,Michele Williams
0,729,618,1,239,0,Michele Williams
0,7480,839,0,0,0,Michele Williams
0,5857,521,1,96,1,Michele Williams
0,2308,750,1,176,0,Michele Williams
0,407,474,0,0,0,Michele Williams
0,8656,376,1,216,0,Michele Williams
0,1258,608,1,146,0,Michele Williams
0,1948,357,1,156,0,Michele Williams
0,2556,62,0,0,0,Michele Williams
0,1464,200,1,209,0,Michele Williams
0,1603,203,1,129,1,Michele Williams
0,8892,425,1,91,1,Michele Williams
0,8423,425,0,0,0,Michele Williams
0,6600,900,1,220,0,Michele Williams
